login ban ctn SocToAdd SocToDel
A137167565 137167565 9037761782 AB_T_VIP GPRSDP
A137167565 137167565 9672639191 AB_T_VIP GPRSDP
A137167565 137167565 9672637070 AB_T_VIP GPRSDP
A137167565 137167565 9636425500 AB_T_VIP GPRSDP
A137167565 137167565 9684759595 AB_T_VIP GPRSDP
A137167565 137167565 9055555968 AB_T_VIP GPRSDP
A137167565 137167565 9055587163 AB_T_VIP GPRSDP
A137167565 137167565 9067203147 AB_T_VIP GPRSDP
A137167565 137167565 9067340567 AB_T_VIP GPRSDP
A137167565 137167565 9067221145 AB_T_VIP GPRSDP
A137167565 137167565 9067221333 AB_T_VIP GPRSDP
A137167565 137167565 9067263561 AB_T_VIP GPRSDP
A137167565 137167565 9067267641 AB_T_VIP GPRSDP
A137167565 137167565 9067078791 AB_T_VIP GPRSDP
A137167565 137167565 9067222637 AB_T_VIP GPRSDP
A137167565 137167565 9067072198 AB_T_VIP GPRSDP
A137167565 137167565 9067221379 AB_T_VIP GPRSDP
A137167565 137167565 9067267857 AB_T_VIP GPRSDP
A137167565 137167565 9067099448 AB_T_VIP GPRSDP
A137167565 137167565 9099223888 AB_T_VIP GPRSDP
A137167565 137167565 9067269236 AB_T_VIP GPRSDP
A137167565 137167565 9099257447 AB_T_VIP GPRSDP
A137167565 137167565 9067221444 AB_T_VIP GPRSDP
A137167565 137167565 9067262624 AB_T_VIP GPRSDP
A137167565 137167565 9099254555 AB_T_VIP GPRSDP
A137167565 137167565 9067381373 AB_T_VIP GPRSDP
A137167565 137167565 9067077010 AB_T_VIP GPRSDP
A137167565 137167565 9067203499 AB_T_VIP GPRSDP
A137167565 137167565 9099256446 AB_T_VIP GPRSDP
A137167565 137167565 9067075098 AB_T_VIP GPRSDP
A137167565 137167565 9067077170 AB_T_VIP GPRSDP
A137167565 137167565 9067095932 AB_T_VIP GPRSDP
A137167565 137167565 9067270247 AB_T_VIP GPRSDP
A137167565 137167565 9067078091 AB_T_VIP GPRSDP
A137167565 137167565 9067637325 AB_T_VIP GPRSDP
A137167565 137167565 9067641100 AB_T_VIP GPRSDP
A137167565 137167565 9067221134 AB_T_VIP GPRSDP
A137167565 137167565 9067221466 AB_T_VIP GPRSDP
A137167565 137167565 9067674315 AB_T_VIP GPRSDP
A137167565 137167565 9099254004 AB_T_VIP GPRSDP
A137167565 137167565 9067076101 AB_T_VIP GPRSDP
A137167565 137167565 9067079408 AB_T_VIP GPRSDP
A137167565 137167565 9067232333 AB_T_VIP GPRSDP
A137167565 137167565 9067264831 AB_T_VIP GPRSDP
A137167565 137167565 9099264333 AB_T_VIP GPRSDP
A137167565 137167565 9067072196 AB_T_VIP GPRSDP
A137167565 137167565 9067007806 AB_T_VIP GPRSDP
A137167565 137167565 9067005955 AB_T_VIP GPRSDP
A137167565 137167565 9067221433 AB_T_VIP GPRSDP
A137167565 137167565 9687643311 AB_T_VIP GPRSDP
A137167565 137167565 9683337303 AB_T_VIP GPRSDP
A137167565 137167565 9037217530 AB_T_VIP GPRSDP
A137167565 137167565 9037262512 AB_T_VIP GPRSDP
A137167565 137167565 9672223212 AB_T_VIP GPRSDP
A137167565 137167565 9037262269 AB_T_VIP GPRSDP
A137167565 137167565 9037217686 AB_T_VIP GPRSDP
A137167565 137167565 9684449484 AB_T_VIP GPRSDP
A137167565 137167565 9683578833 AB_T_VIP GPRSDP
A137167565 137167565 9683590077 AB_T_VIP GPRSDP
A137167565 137167565 9683584545 AB_T_VIP GPRSDP
A137167565 137167565 9683588866 AB_T_VIP GPRSDP
A137167565 137167565 9683578822 AB_T_VIP GPRSDP
A137167565 137167565 9683590033 AB_T_VIP GPRSDP
A137167565 137167565 9683590044 AB_T_VIP GPRSDP
A137167565 137167565 9683587755 AB_T_VIP GPRSDP
A137167565 137167565 9683577755 AB_T_VIP GPRSDP
A137167565 137167565 9683577766 AB_T_VIP GPRSDP
A137167565 137167565 9683579797 AB_T_VIP GPRSDP
A137167565 137167565 9683594400 AB_T_VIP GPRSDP
A137167565 137167565 9683575566 AB_T_VIP GPRSDP
